vessel_key,identity_basis,name,imo,mmsi,operator,ais_type,type_label,length_m,width_m,gross_tonnage,dimension_quality,size_band_reliable,existing_cruise_classification,candidate_classification,confidence_score,classification_reasons,exclusion_reasons,total_estimated_co2_tonnes,latest_month_estimated_co2_tonnes,observation_count,active_days,first_observed,latest_observed
IMO:9849693,IMO,ARVIA,9849693,310856000,,Passenger ship,Passenger ship,344,54,0,IMPLAUSIBLE,unknown_length,VERIFIED_OCEAN_CRUISE / HIGH / ACCEPT,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship,already verified as an accepted ocean/expedition cruise vessel; commercial passenger/cruise scale or classification detected; dimensions are implausible for a yacht analysis,2233.061,2233.061,1667,7,2026-07-01T16:32:18.674Z,2026-07-10T10:09:25.660Z
MMSI:265535300,MMSI,TEATERSKEPPET,,265535300,,60,60,60,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.7,MMSI present; AIS/type metadata: 60,dimensions are implausible for a yacht analysis,3.787,3.787,110,2,2026-07-01T15:20:03.429Z,2026-07-02T14:40:41.632Z
MMSI:211493760,MMSI,WAPPEN VON FRANKFURT,,211493760,,Passenger ship,Passenger ship,45,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,143.369,143.369,86,2,2026-07-01T14:34:38.292Z,2026-07-02T14:46:55.022Z
MMSI:367340680,MMSI,MACHIGONNE II,,367340680,,Passenger ship,Passenger ship,43,28,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,153.159,153.159,66,2,2026-07-01T14:36:08.868Z,2026-07-02T14:35:44.339Z
MMSI:366969970,MMSI,SONOMA,,366969970,,Passenger ship,Passenger ship,47,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,107.37,107.37,158,2,2026-07-01T15:08:46.521Z,2026-07-02T14:50:45.352Z
MMSI:244660378,MMSI,FRIESLAND,,244660378,,Passenger ship,Passenger ship,53,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,41.753,41.753,96,2,2026-07-01T14:31:29.507Z,2026-07-02T14:50:00.180Z
MMSI:368392620,MMSI,JACKIE ROBINSON,,368392620,,Passenger ship,Passenger ship,55,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,28,1,2026-07-02T11:52:39.990Z,2026-07-02T14:40:49.825Z
MMSI:211561590,MMSI,MARIA SIBYLLA MERIAN,,211561590,,Passenger ship,Passenger ship,50,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,43.023,43.023,80,2,2026-07-01T14:40:37.550Z,2026-07-02T14:39:47.685Z
MMSI:367759510,MMSI,CIRCLE LINE BRONX,,367759510,,Passenger ship,Passenger ship,47,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,53.76,53.76,102,2,2026-07-01T14:43:22.690Z,2026-07-02T14:46:01.026Z
MMSI:244169000,MMSI,PRINSES MAXIMA,,244169000,,Passenger ship,Passenger ship,38,18,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,139.109,139.109,173,2,2026-07-01T14:51:56.020Z,2026-07-02T14:50:01.827Z
MMSI:244830745,MMSI,SPES ORIENTIS,,244830745,,Passenger ship,Passenger ship,38,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,134.201,134.201,178,2,2026-07-01T14:28:43.225Z,2026-07-02T14:45:41.934Z
