vessel_key,identity_basis,name,imo,mmsi,operator,ais_type,type_label,length_m,width_m,gross_tonnage,dimension_quality,size_band_reliable,existing_cruise_classification,candidate_classification,confidence_score,classification_reasons,exclusion_reasons,total_estimated_co2_tonnes,latest_month_estimated_co2_tonnes,observation_count,active_days,first_observed,latest_observed
IMO:9107772,IMO,NORDKAPP,9107772,259330000,,Passenger ship,Passenger ship,124,20,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,167.882,167.882,44,2,2026-07-01T13:58:03.274Z,2026-07-02T14:45:23.019Z
IMO:9107784,IMO,NORDNORGE,9107784,259371000,,Passenger ship,Passenger ship,123,18,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,148.525,148.525,66,2,2026-07-01T13:31:14.040Z,2026-07-02T14:48:58.116Z
IMO:9107796,IMO,POLARLYS,9107796,259322000,,60,60,123,18,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: 60; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,117.386,117.386,32,2,2026-07-01T15:45:27.693Z,2026-07-02T14:40:31.058Z
IMO:9107875,IMO,TUNOFAERGEN,9107875,219000762,,69,69,30,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.7,IMO present; MMSI present; AIS/type metadata: 69,dimensions are implausible for a yacht analysis,124.71,124.71,132,2,2026-07-01T13:30:26.641Z,2026-07-02T14:41:51.953Z
IMO:9107942,IMO,KAITAKI,9107942,512445000,,61,61,178,24,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: 61; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,22.869,22.869,14,1,2026-07-02T12:38:28.158Z,2026-07-02T14:42:31.709Z
IMO:9108350,IMO,POLONIA,9108350,209864000,,Passenger ship,Passenger ship,170,28,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,10.114,10.114,11,1,2026-07-01T14:41:15.747Z,2026-07-01T17:34:47.936Z
IMO:9108568,IMO,NAPOLI,9108568,352001535,,Passenger ship,Passenger ship,175,24,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,123.912,123.912,80,1,2026-07-01T13:18:40.898Z,2026-07-01T18:17:06.077Z
IMO:9109768,IMO,TARIQ IBN ZIYAD,9109768,605246160,,Passenger ship,Passenger ship,153,25,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,16.317,16.317,4,1,2026-07-01T15:03:36.220Z,2026-07-01T15:42:54.010Z
IMO:9110016,IMO,SUPERFERRY,9110016,241435000,,Passenger ship,Passenger ship,120,22,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,non-yacht service/commercial vessel signal detected; commercial passenger/cruise scale or classification detected,122.716,122.716,109,2,2026-07-01T14:37:27.645Z,2026-07-02T14:49:11.933Z
IMO:9110418,IMO,AKCAKOCA,9110418,271002446,,Passenger ship,Passenger ship,40,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,3.263,3.263,44,2,2026-07-01T16:36:32.505Z,2026-07-02T14:48:55.959Z
IMO:9111319,IMO,Paul Gauguin,9111319,578001600,Paul Gauguin Cruises,Ocean cruise ship,Ocean cruise ship,0,0,0,MISSING,unknown_length,VERIFIED_OCEAN_CRUISE / HIGH / ACCEPT,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Ocean cruise ship,already verified as an accepted ocean/expedition cruise vessel,63.949,63.949,152,2,2026-07-08T14:16:23.204Z,2026-07-09T05:39:30.799Z
IMO:9111802,IMO,ENCHANTMENT OTS,9111802,311733000,,Passenger ship,Passenger ship,302,32,0,IMPLAUSIBLE,unknown_length,VERIFIED_OCEAN_CRUISE / HIGH / ACCEPT,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship,already verified as an accepted ocean/expedition cruise vessel; commercial passenger/cruise scale or classification detected; dimensions are implausible for a yacht analysis,60.511,60.511,140,3,2026-07-02T12:21:51.919Z,2026-07-10T02:03:09.964Z
IMO:9112765,IMO,KATTEGAT,9112765,209405000,,Passenger ship,Passenger ship,136,25,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,160.956,160.956,56,2,2026-07-01T13:50:06.699Z,2026-07-02T14:08:35.777Z
IMO:9112777,IMO,TANGER EXPRESS,9112777,242127100,,Passenger ship,Passenger ship,136,24,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,78.547,78.547,17,2,2026-07-01T17:31:31.910Z,2026-07-02T14:30:35.564Z
IMO:9112947,IMO,MARMARIS EXPRESS,9112947,271005006,,69,69,40,12,0,RELIABLE,40_79_99_m,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: 69; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,15.371,15.371,30,2,2026-07-01T13:57:27.217Z,2026-07-02T14:46:16.365Z
IMO:9115066,IMO,KM JAMBO 14,9115066,525021302,,Passenger ship,Passenger ship,106,14,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,33.632,33.632,29,2,2026-07-01T15:48:22.873Z,2026-07-02T14:26:15.601Z
